rank,tier,score,id,domain,topic,dimension,viewpoint,inspect_signals,executive_failure,probe_method
1,P0,95.15,D01-T01-V1,事業成果・売上成長,ARR/MRR成長率,結果・状態の説明責任,ARR/MRR成長率について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,ARR/MRRの計画値・実績値・前年差・成長寄与の内訳,成長鈍化を販促不足だけで説明し、構造要因を見逃す,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
2,P0,95.105,D01-T04-V1,事業成果・売上成長,売上計画達成率,結果・状態の説明責任,売上計画達成率について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,月次・四半期・通期の売上計画差異,期末に未達が顕在化し修正余地を失う,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
3,P0,94.85,D01-T01-V3,事業成果・売上成長,ARR/MRR成長率,下方リスク・早期警戒責任,ARR/MRR成長率の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「成長鈍化を販促不足だけで説明し、構造要因を見逃す」が顕在化する前に経営判断へつなげられること。,ARR/MRRの計画値・実績値・前年差・成長寄与の内訳,成長鈍化を販促不足だけで説明し、構造要因を見逃す,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
4,P0,94.805,D01-T04-V3,事業成果・売上成長,売上計画達成率,下方リスク・早期警戒責任,売上計画達成率の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「期末に未達が顕在化し修正余地を失う」が顕在化する前に経営判断へつなげられること。,月次・四半期・通期の売上計画差異,期末に未達が顕在化し修正余地を失う,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
5,P0,94.7,D02-T01-V1,継続率・顧客維持,NRR,結果・状態の説明責任,NRRについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,NRRの全体・セグメント・コホート別推移,Expansionで解約悪化を覆い隠す,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
6,P0,94.7,D12-T01-V1,セキュリティ,テナント分離,結果・状態の説明責任,テナント分離について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,クロステナントアクセス防止設計と継続テスト,1件の分離破りがSaaS事業の信用を壊す,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
7,P0,94.685,D02-T02-V1,継続率・顧客維持,GRR,結果・状態の説明責任,GRRについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,GRRの全体・プラン・業種別推移,既存売上の毀損が慢性化する,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
8,P0,94.685,D12-T02-V1,セキュリティ,認証・認可,結果・状態の説明責任,認証・認可について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,最小権限、RBAC/ABAC、特権操作管理,認証済みユーザーが他権限へ越境する,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
9,P0,94.655,D02-T04-V1,継続率・顧客維持,更新確度,結果・状態の説明責任,更新確度について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,90/120/180日前の更新見込みと金額,更新交渉の手遅れでARRを失う,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
10,P0,94.64,D02-T05-V1,継続率・顧客維持,大口顧客更新,結果・状態の説明責任,大口顧客更新について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,上位顧客の更新日、リスク、代替策,大口解約が予告なく業績へ直撃する,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
11,P0,94.61,D12-T07-V1,セキュリティ,インシデント対応,結果・状態の説明責任,インシデント対応について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,役割、連絡、封じ込め、法的通知の訓練,初動遅延で被害と説明責任が拡大する,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
12,P0,94.4,D02-T01-V3,継続率・顧客維持,NRR,下方リスク・早期警戒責任,NRRの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「Expansionで解約悪化を覆い隠す」が顕在化する前に経営判断へつなげられること。,NRRの全体・セグメント・コホート別推移,Expansionで解約悪化を覆い隠す,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
